# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.9412739	0.09960948	0	0.023	0	0
0	-0.9402684	0.10063417	0	0.024000002	0	0
0	-0.9392404	0.1016728	0	0.025000002	0	0
0	-0.9381888	0.10272613	0	0.025999997	0	0
0	-0.93711233	0.103795215	0	0.026999999	0	0
0	-0.9360103	0.10488061	0	0.027999999	0	0
0	-0.9348819	0.10598209	0	0.029	0	0
0	-0.9337251	0.107102096	0	0.03	0	0
0	-0.9325401	0.10823919	0	0.031000001	0	0
0	-0.93132436	0.109396115	0	0.032	0	0
0	-0.9300771	0.11057274	0	0.032999996	0	0
0	-0.9287967	0.11177035	0	0.034000006	0	0
0	-0.9274821	0.11298937	0	0.035	0	0
0	-0.9261311	0.114231445	0	0.036	0	0
0	-0.9247423	0.11549719	0	0.037	0	0
0	-0.9233137	0.11678819	0	0.038	0	0
0	-0.9218433	0.11810528	0	0.039	0	0
0	-0.9203292	0.11944994	0	0.039999995	0	0
0	-0.9187685	0.120823935	0	0.041000005	0	0
0	-0.91715914	0.12222868	0	0.042	0	0
0	-0.91549826	0.12366564	0	0.043000005	0	0
0	-0.9137835	0.12513629	0	0.044	0	0
0	-0.9120112	0.12664275	0	0.045	0	0
0	-0.910178	0.12818757	0	0.046	0	0
0	-0.9082798	0.12977315	0	0.046999995	0	0
0	-0.9063133	0.13140105	0	0.048000004	0	0
0	-0.90427345	0.133075	0	0.049	0	0
0	-0.9021558	0.13479717	0	0.050000004	0	0
0	-0.89995444	0.13657154	0	0.051	0	0
0	-0.89766324	0.13840201	0	0.051999994	0	0
0	-0.8952769	0.14029078	0	0.053	0	0
0	-0.8927864	0.14224474	0	0.053999998	0	0
0	-0.8901849	0.1442668	0	0.055000003	0	0
0	-0.8874618	0.1463643	0	0.055999998	0	0
0	-0.88460684	0.14854342	0	0.057000004	0	0
0	-0.8816091	0.15081012	0	0.058	0	0
0	-0.87845397	0.1531739	0	0.059000008	0	0
0	-0.8751251	0.15564473	0	0.06	0	0
0	-0.87160635	0.15823148	0	0.060999997	0	0
0	-0.8678752	0.16094825	0	0.062000003	0	0
0	-0.86390495	0.16381182	0	0.063	0	0
0	-0.8596686	0.16683695	0	0.064	0	0
0	-0.85512763	0.17004757	0	0.065	0	0
0	-0.85023814	0.17346986	0	0.06599999	0	0
0	-0.8449438	0.17713742	0	0.067	0	0
0	-0.8391744	0.18109152	0	0.06800001	0	0
0	-0.8328351	0.18538913	0	0.069	0	0
0	-0.82580936	0.19009516	0	0.07	0	0
0	-0.8179131	0.19532093	0	0.071	0	0
0	-0.80889356	0.20121086	0	0.072	0	0
0	-0.7983444	0.207997	0	0.07300001	0	0
0	-0.78556454	0.21606927	0	0.074	0	0
0	-0.769062	0.22624162	0	0.074999996	0	0
0	-0.74371964	0.24118683	0	0.076	0	0
0	0.9909042	2.9685682e-05	0	0.077	0	0
0	0.9909787	2.436489e-05	0	0.078	0	0
0	0.9910523	1.9944957e-05	0	0.079	0	0
0	0.9911254	1.6192178e-05	0	0.07999999	0	0
0	0.9911978	1.3914199e-05	0	0.081	0	0
0	0.99126947	1.1897653e-05	0	0.08200001	0	0
0	0.99134064	9.898002e-06	0	0.083	0	0
0	0.991411	8.354007e-06	0	0.084	0	0
0	0.99148077	7.030256e-06	0	0.08499999	0	0
0	0.99155	5.9154627e-06	0	0.08600001	0	0
0	0.9916185	4.942929e-06	0	0.087000005	0	0
0	0.99168646	4.124391e-06	0	0.088	0	0
0	0.9917537	3.39705e-06	0	0.088999994	0	0
0	0.9918204	2.7931674e-06	0	0.09	0	0
0	0.99188656	2.2333115e-06	0	0.091000006	0	0
0	0.99195194	1.7784041e-06	0	0.092	0	0
0	0.99201685	1.4168545e-06	0	0.093	0	0
0	0.99208117	1.0871809e-06	0	0.09399999	0	0
0	0.9921448	8.3094346e-07	0	0.095	0	0
0	0.99220794	6.50929e-07	0	0.09600001	0	0
0	0.99227047	4.7572394e-07	0	0.097	0	0
